zip,type,year_built,listPrice,lastSoldPrice,list_to_sold_ratio,sqft,price_per_sqft,stories,beds,baths,baths_full,baths_full_calc,property_age,price_diff,price_ratio,price_change_pct
98229,7,2006,674918,675089,1,2050,329.31,3,3,3,1,2,20,-171,1,0
99362,7,1909,424936,399919,0.96,1840,217.35,2,3,2,2,2,117,25017,1.06,0.06
98019,7,2011,985081,965052,0.98,2700,357.43,2,4,3,2,2,15,20029,1.02,0.02
98221,7,1990,995076,995092,1,3000,331.7,1,4,4,3,2,36,-16,1,0
98074,7,1971,999854,940061,0.96,1480,635.18,1,3,2,2,2,55,43901,1.06,0.06
98370,7,2018,640063,640056,1,2680,238.83,2,4,3,2,2,8,7,1,0
98837,7,1998,285099,285905,1,1230,232.44,1,3,2,2,2,28,-806,1,0
98006,7,1980,1222787,1462187.5,1.03,2230,680.56,3,4,3,1,2,46,-33595,0.84,-0.16
98003,7,1962,574941,574923,1,1370,419.65,1,3,2,1,2,64,18,1,0
98092,7,1963,530008,530074,1,1450,365.57,1,3,2,1,2,63,-66,1,0
98042,7,1987,650027,660089,1.02,1770,372.93,2,3,3,1,2,39,-10062,0.98,-0.02
98107,0,2007,375052,365052,0.97,530,680.56,1,1.5,1,1,2,19,10000,1.03,0.03
98531,7,2025,900015,899895,1,3000,299.96,2,4,4,3,2,1,120,1,0
99352,7,1998,539828,552571,1.02,2710,203.9,2,4,3,2,2,28,-12743,0.98,-0.02
98023,0,1978,275099,273074,0.99,1210,225.68,2,2,2,1,2,48,2025,1.01,0.01
98375,7,2000,599850,625090,1.03,2510,249.04,2,4,3,2,2,26,-25240,0.96,-0.04
98074,7,2019,1222787,1462187.5,0.98,3865,680.56,2,5,4.5,2,2,7,43901,0.84,-0.16
98248,7,2007,739905,744943,1.01,2150,346.49,1,3,2,2,2,19,-5038,0.99,-0.01
99111,7,1925,324946,324901,1,2170,149.72,1,3,2,2,2,101,45,1,0
99352,7,2007,599088,594073,0.99,3000,198.02,2,4,3,1,2,19,5015,1.01,0.01
98148,7,1978,699905,715099,1.02,2140,334.16,1,4,3,1,2,48,-15194,0.98,-0.02
